11:52:05.600 |  get_toc.py  | Line 110 | DEBUG ➤ Row 79:1 text: `Chapter 1054 - Bow Quest`
11:52:05.600 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1054: Bow Quest
11:52:05.600 |  get_toc.py  | Line 110 | DEBUG ➤ Row 80:1 text: `Chapter 1055 - Construction Site Inspection`
11:52:05.601 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1055: Construction Site Inspection
11:52:05.601 |  get_toc.py  | Line 110 | DEBUG ➤ Row 81:1 text: `Chapter 1056 - Thieves At The Lodge`
11:52:05.601 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1056: Thieves At The Lodge
11:52:05.601 |  get_toc.py  | Line 110 | DEBUG ➤ Row 82:1 text: `Chapter 1057 - Bow Quest Completed!`
11:52:05.602 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1057: Bow Quest Completed!
11:52:05.602 |  get_toc.py  | Line 110 | DEBUG ➤ Row 83:1 text: `Chapter 1058 - The "Negotiations" Begins`
11:52:05.602 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1058: The "Negotiations" Begins
11:52:05.602 |  get_toc.py  | Line 110 | DEBUG ➤ Row 84:1 text: `Chapter 1059 - One Final Gambit`
11:52:05.602 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1059: One Final Gambit
11:52:05.603 |  get_toc.py  | Line 110 | DEBUG ➤ Row 85:1 text: `Chapter 1060 - Question(s) Of Trust`
11:52:05.603 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1060: Question(s) Of Trust
11:52:05.603 |  get_toc.py  | Line 110 | DEBUG ➤ Row 86:1 text: `Chapter 1061 - Breakdown In Negotiations`
11:52:05.603 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1061: Breakdown In Negotiations
11:52:05.603 |  get_toc.py  | Line 110 | DEBUG ➤ Row 87:1 text: `Chapter 1062 - Reluctant Choices`
11:52:05.604 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1062: Reluctant Choices
11:52:05.604 |  get_toc.py  | Line 110 | DEBUG ➤ Row 88:1 text: `Chapter 1063 - Unwanted Reunion`
11:52:05.604 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1063: Unwanted Reunion
11:52:05.604 |  get_toc.py  | Line 110 | DEBUG ➤ Row 89:1 text: `Chapter 1064 - Carmen Used Runemaiden! It's Super
                                                                    Effective!`
11:52:05.604 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1064: Carmen Used Runemaiden! It's Super
11:52:05.604 |  get_toc.py  | Line 110 | DEBUG ➤ Row 90:1 text: `Chapter 1065 - No Mercy`
11:52:05.605 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1065: No Mercy
